Año,Trimestre,Provincia,Accesos por cada 100 hogares
1970-01-01 00:00:00.000002019,3,Tierra Del Fuego,"96,46"
1970-01-01 00:00:00.000002019,3,Tucumán,"39,49"
1970-01-01 00:00:00.000002019,2,Buenos Aires,"67,85"
1970-01-01 00:00:00.000002019,2,Capital Federal,"110,55"
1970-01-01 00:00:00.000002019,2,Catamarca,"32,13"
1970-01-01 00:00:00.000002019,2,Chaco,"34,14"
1970-01-01 00:00:00.000002019,2,Chubut,"46,99"
1970-01-01 00:00:00.000002019,2,Córdoba,"68,07"
1970-01-01 00:00:00.000002019,2,Corrientes,"38,16"
1970-01-01 00:00:00.000002019,2,Entre Ríos,"57,48"
1970-01-01 00:00:00.000002019,2,Formosa,"30,42"
1970-01-01 00:00:00.000002019,2,Jujuy,"44,51"
1970-01-01 00:00:00.000002019,2,La Pampa,"77,08"
1970-01-01 00:00:00.000002019,2,La Rioja,"48,7"
1970-01-01 00:00:00.000002019,2,Mendoza,"40,75"
1970-01-01 00:00:00.000002019,2,Misiones,"39,15"
1970-01-01 00:00:00.000002019,2,Neuquén,"63,08"
1970-01-01 00:00:00.000002019,2,Río Negro,"61,09"
1970-01-01 00:00:00.000002019,2,Salta,"41,89"
1970-01-01 00:00:00.000002019,2,San Juan,"35,6"
1970-01-01 00:00:00.000002019,2,San Luis,"81,79"
1970-01-01 00:00:00.000002019,2,Santa Cruz,"28,85"
1970-01-01 00:00:00.000002019,2,Santa Fe,"67,42"
1970-01-01 00:00:00.000002019,2,Santiago Del Estero,"52,79"
1970-01-01 00:00:00.000002019,2,Tierra Del Fuego,"94,8"
1970-01-01 00:00:00.000002019,2,Tucumán,"40,14"
1970-01-01 00:00:00.000002019,1,Buenos Aires,"66,24"
1970-01-01 00:00:00.000002019,1,Capital Federal,"109,2"
1970-01-01 00:00:00.000002019,1,Catamarca,"32,19"
1970-01-01 00:00:00.000002019,1,Chaco,"32,64"
1970-01-01 00:00:00.000002019,1,Chubut,43
1970-01-01 00:00:00.000002019,1,Córdoba,"65,52"
1970-01-01 00:00:00.000002019,1,Corrientes,"35,13"
1970-01-01 00:00:00.000002019,1,Entre Ríos,"56,79"
1970-01-01 00:00:00.000002019,1,Formosa,"29,68"
